System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Core C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System Pack C-States,System,System,System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),Core0 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,LOCAL,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,Proc Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),UncFREQ (Ghz),EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2025-09-13,13:53:55.025,0.08,2.42,0.03,1.17,0.10,0.97,0.90,0.37,0.0000,0.0001,0.01,0.01,52,8496.44,3513.43,2603.51,4.84,120.91,0.16,4.08,2.87,3.05,0.00,94.08,0.00,52.50,47.50,0.00,0.00,0.00,64.58,5.13,1025358.18,2.18,0.16,2.49,0.07,1.22,0.03,0.41,0.94,0.30,0.0000,0.0000, 13000,0.01,0.00,28,42,8465.70,3397.92,2603.51,4.98,124.57,0.33,8.13,0.00,0.27,0.00,0.54,0.07,0.56,0.87,0.41,0.0023,0.0181, 15160,0.00,0.00,86,48,30.74,115.51,2603.51,0.53,13.31,0.00,0.03,5.34,5.47,0.00,89.19,0.00,100.00,0.00,0.00,0.00,0.00,0.41,0.62,0.01,98.96,0.00,4.99,95.01,0.00,0.00,0.00,44.94,19.63,3.11 ,2.03 ,520246.13 ,2893881.34 ,3.00,1.36,3.24,2.56,1.27,1.27,0.01,0.03,0.71,0.59,0.0000,0.0000,   440,99.97,0.03,0.00,0.00,0.00,43,8447.48,3300.18,2603.51,5.12,127.99,6.49,162.23,
2025-09-13,13:53:56.029,0.08,2.41,0.03,1.17,0.10,1.60,0.94,0.34,0.0000,0.0002,0.02,0.13,98,8418.26,3487.33,2607.49,4.83,120.70,0.16,4.04,2.87,3.00,0.00,94.14,0.00,52.01,47.99,0.00,0.00,0.00,63.77,6.36,0.24,2.10,0.16,2.47,0.07,1.22,0.08,1.15,0.93,0.36,0.0000,0.0001, 14760,0.02,0.13,99,44,8401.28,3394.77,2607.49,4.95,123.74,0.32,8.06,0.00,0.18,0.00,0.46,0.02,0.45,0.95,0.25,0.0012,0.0264, 15360,0.00,0.00,35,48,16.98,92.55,2607.49,0.37,9.17,0.00,0.02,5.35,5.46,0.00,89.20,0.00,100.00,0.00,0.00,0.00,0.00,0.38,0.54,0.00,99.07,0.00,4.01,95.99,0.00,0.00,0.00,45.17,18.60,4.16 ,2.20 ,0.33 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.06,0.78,0.92,0.41,0.0000,0.0001,  3840,99.97,0.03,0.00,0.00,0.00,44,8385.01,3305.98,2607.49,5.07,126.82,6.43,160.79,
2025-09-13,13:53:57.041,0.08,2.41,0.03,1.16,0.13,1.87,0.93,0.38,0.0000,0.0002,0.02,0.13,96,8515.66,3535.38,2628.11,4.82,120.43,0.16,4.05,2.91,3.09,0.00,94.01,0.00,52.86,47.14,0.00,0.00,0.00,64.33,6.29,0.14,2.10,0.16,2.48,0.07,1.22,0.03,1.09,0.97,0.37,0.0000,0.0001, 14960,0.02,0.13,96,43,8481.04,3419.90,2628.11,4.96,124.00,0.32,8.07,0.00,0.30,0.00,0.46,0.10,0.78,0.87,0.40,0.0029,0.0226, 18080,0.00,0.00,92,47,34.62,115.48,2628.11,0.60,14.99,0.00,0.03,5.34,5.45,0.00,89.21,0.00,100.00,0.00,0.00,0.00,0.00,0.48,0.72,0.00,98.80,0.00,5.72,94.28,0.00,0.00,0.00,45.57,18.76,4.20 ,2.08 ,0.20 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.72,0.98,0.42,0.0000,0.0001,  3960,99.97,0.03,0.00,0.00,0.00,43,8464.98,3332.45,2628.11,5.08,127.01,6.44,161.05,
2025-09-13,13:53:58.045,0.08,2.42,0.03,1.17,0.05,1.52,0.97,0.34,0.0000,0.0002,0.02,0.13,98,8426.38,3488.27,2607.38,4.83,120.78,0.16,4.04,2.87,2.99,0.00,94.13,0.00,51.87,48.13,0.00,0.00,0.00,63.83,6.17,0.05,2.10,0.16,2.48,0.07,1.22,0.03,1.09,0.97,0.37,0.0000,0.0001, 15400,0.01,0.13,99,41,8409.48,3395.55,2607.38,4.95,123.83,0.32,8.06,0.00,0.18,0.00,0.46,0.02,0.43,0.96,0.26,0.0011,0.0256, 18160,0.00,0.00,49,48,16.90,92.72,2607.38,0.36,9.12,0.00,0.02,5.35,5.47,0.00,89.18,0.00,100.00,0.00,0.00,0.00,0.00,0.39,0.52,0.01,99.08,0.00,3.75,96.25,0.00,0.00,0.00,45.24,18.59,4.16 ,2.01 ,0.07 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.02,0.71,0.98,0.42,0.0000,0.0001,  4440,99.97,0.03,0.00,0.00,0.00,41,8393.12,3305.91,2607.38,5.08,126.94,6.44,160.95,
2025-09-13,13:53:59.049,0.08,2.40,0.03,1.16,0.04,1.57,0.97,0.39,0.0000,0.0002,0.02,0.13,98,8434.91,3509.62,2607.36,4.81,120.17,0.16,4.04,2.91,3.03,0.00,94.06,0.00,52.36,47.64,0.00,0.00,0.00,63.89,6.18,0.10,2.10,0.16,2.47,0.07,1.21,0.02,1.07,0.98,0.37,0.0000,0.0001, 15440,0.01,0.13,98,42,8410.15,3402.06,2607.36,4.94,123.60,0.32,8.06,0.00,0.23,0.00,0.46,0.02,0.50,0.95,0.43,0.0009,0.0202, 18360,0.00,0.00,60,47,24.76,107.56,2607.36,0.46,11.51,0.00,0.02,5.38,5.48,0.00,89.15,0.00,100.00,0.00,0.00,0.00,0.00,0.45,0.58,0.00,98.97,0.00,4.73,95.27,0.00,0.00,0.00,45.30,18.59,4.16 ,2.02 ,0.13 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.70,0.99,0.42,0.0000,0.0001,  4480,99.97,0.03,0.00,0.00,0.00,42,8392.97,3305.70,2607.36,5.08,126.95,6.44,160.95,
2025-09-13,13:54:00.053,0.08,2.40,0.03,1.15,0.07,2.04,0.97,0.33,0.0000,0.0002,0.02,0.13,98,8438.33,3514.91,2607.37,4.80,120.04,0.16,4.05,2.93,8.06,0.09,88.92,0.00,65.84,34.16,0.00,0.00,0.00,64.46,6.38,0.48,2.10,0.16,2.47,0.07,1.21,0.03,1.25,0.98,0.36,0.0000,0.0001, 15320,0.01,0.13,98,41,8409.13,3401.66,2607.37,4.94,123.60,0.32,8.06,0.00,0.26,0.00,0.46,0.04,0.79,0.95,0.29,0.0014,0.0270, 19160,0.00,0.00,77,47,29.20,113.25,2607.37,0.52,12.89,0.00,0.03,5.38,5.73,0.17,88.71,0.00,100.00,0.00,0.00,0.00,0.00,0.47,10.38,0.02,89.13,0.00,31.67,68.33,0.00,0.00,0.00,45.36,19.10,4.17 ,2.21 ,0.33 ,0.83 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.69,0.99,0.42,0.0000,0.0001,  4440,99.94,0.06,0.00,0.00,0.00,41,8390.16,3303.26,2607.37,5.08,127.00,6.44,160.89,
2025-09-13,13:54:01.057,0.08,2.39,0.03,1.16,0.09,1.95,0.95,0.44,0.0000,0.0002,0.02,0.13,97,8427.15,3529.89,2607.38,4.77,119.37,0.16,4.04,2.91,2.99,0.01,94.09,0.00,52.49,47.51,0.00,0.00,0.00,63.92,6.24,0.12,2.10,0.16,2.45,0.07,1.22,0.07,1.42,0.95,0.44,0.0000,0.0002, 17240,0.02,0.13,98,42,8403.12,3428.49,2607.38,4.90,122.55,0.32,8.06,0.00,0.24,0.00,0.46,0.03,0.53,0.95,0.42,0.0010,0.0222, 19240,0.00,0.00,37,47,24.04,101.40,2607.38,0.47,11.85,0.00,0.02,5.40,5.40,0.00,89.20,0.00,100.00,0.00,0.00,0.00,0.00,0.42,0.59,0.01,98.98,0.00,4.98,95.02,0.00,0.00,0.00,45.31,18.60,4.17 ,2.07 ,0.17 ,0.00 ,3.00,1.20,3.21,2.53,1.27,1.27,0.01,0.71,0.99,0.41,0.0000,0.0001,  4360,99.97,0.03,0.00,0.00,0.00,42,8365.73,3305.91,2607.38,5.06,126.53,6.42,160.42,
2025-09-13,13:54:02.061,0.08,2.42,0.03,1.17,0.04,1.54,0.98,0.34,0.0000,0.0002,0.01,0.13,98,8430.12,3486.75,2607.40,4.84,120.89,0.16,4.04,2.87,3.01,0.01,94.12,0.00,51.90,48.10,0.00,0.00,0.00,63.96,6.20,0.10,2.10,0.16,2.48,0.07,1.22,0.02,1.10,0.98,0.36,0.0000,0.0001, 17080,0.01,0.13,99,41,8413.28,3394.95,2607.40,4.96,123.91,0.32,8.07,0.00,0.18,0.00,0.46,0.02,0.44,0.96,0.26,0.0011,0.0261, 19280,0.00,0.00,50,46,16.84,91.80,2607.40,0.37,9.17,0.00,0.02,5.35,5.50,0.00,89.16,0.00,100.00,0.00,0.00,0.00,0.00,0.38,0.52,0.01,99.09,0.00,3.80,96.20,0.00,0.00,0.00,45.37,18.59,4.19 ,2.01 ,0.13 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.70,0.99,0.42,0.0000,0.0001,  4480,99.96,0.04,0.00,0.00,0.00,42,8396.73,3305.60,2607.40,5.08,127.01,6.44,161.02,
2025-09-13,13:54:03.065,0.08,2.41,0.03,1.15,0.07,1.87,0.96,0.39,0.0000,0.0002,0.02,0.13,98,8454.20,3511.72,2607.32,4.81,120.37,0.16,4.05,2.92,3.11,0.01,93.97,0.00,52.68,47.32,0.00,0.00,0.00,64.05,6.22,203453.70,2.10,0.16,2.48,0.07,1.21,0.03,1.12,0.98,0.38,0.0000,0.0001, 17360,0.01,0.13,98,42,8421.66,3400.18,2607.32,4.95,123.84,0.32,8.07,0.00,0.29,0.00,0.46,0.04,0.75,0.95,0.39,0.0012,0.0231, 19680,0.00,0.00,77,48,32.54,111.54,2607.32,0.58,14.59,0.00,0.03,5.37,5.52,0.00,89.11,0.00,100.00,0.00,0.00,0.00,0.00,0.46,0.70,0.01,98.83,0.00,5.36,94.64,0.00,0.00,0.00,45.44,18.61,4.17 ,2.05 ,199406.47 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.70,0.99,0.42,0.0000,0.0001,  4440,99.96,0.04,0.00,0.00,0.00,41,8395.55,3305.28,2607.32,5.08,127.00,6.44,161.00,
2025-09-13,13:54:04.069,0.08,2.42,0.03,1.17,0.04,1.53,0.98,0.37,0.0000,0.0002,0.01,0.13,98,8435.73,3489.26,2607.39,4.84,120.88,0.16,4.04,2.87,2.98,0.00,94.15,0.00,52.00,48.00,0.00,0.00,0.00,63.98,6.17,0.05,2.10,0.16,2.48,0.07,1.22,0.02,1.08,0.98,0.36,0.0000,0.0001, 17440,0.01,0.13,99,41,8414.69,3394.40,2607.39,4.96,123.95,0.32,8.07,0.00,0.22,0.00,0.46,0.02,0.45,0.96,0.37,0.0009,0.0212, 19680,0.00,0.00,53,48,21.04,94.87,2607.39,0.44,11.09,0.00,0.02,5.35,5.47,0.00,89.19,0.00,100.00,0.00,0.00,0.00,0.00,0.39,0.50,0.00,99.11,0.00,4.00,96.00,0.00,0.00,0.00,45.39,18.60,4.16 ,2.01 ,0.07 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.70,0.99,0.41,0.0000,0.0001,  4640,99.97,0.03,0.00,0.00,0.00,41,8398.50,3305.91,2607.39,5.08,127.02,6.44,161.05,
2025-09-13,13:54:05.073,0.08,2.40,0.03,1.16,0.04,1.85,0.98,0.36,0.0000,0.0002,0.02,0.13,98,8424.81,3503.37,2607.34,4.81,120.24,0.16,4.04,2.90,3.53,0.03,93.53,0.00,53.19,46.81,0.00,0.00,0.00,64.05,6.23,0.02,2.10,0.16,2.47,0.07,1.21,0.02,1.29,0.98,0.35,0.0000,0.0002, 17560,0.01,0.13,99,41,8403.60,3401.55,2607.34,4.94,123.53,0.32,8.06,0.00,0.21,0.00,0.46,0.02,0.56,0.96,0.37,0.0010,0.0262, 19760,0.00,0.00,52,47,21.21,101.81,2607.34,0.42,10.42,0.00,0.02,5.39,5.79,0.04,88.78,0.00,100.00,0.00,0.00,0.00,0.00,0.42,1.28,0.02,98.28,0.00,6.38,93.62,0.00,0.00,0.00,45.41,18.64,4.18 ,2.04 ,0.03 ,0.00 ,3.00,1.20,3.22,2.54,1.27,1.27,0.01,0.70,0.99,0.42,0.0000,0.0001,  4640,99.91,0.09,0.00,0.00,0.00,41,8383.95,3301.79,2607.34,5.08,126.96,6.43,160.78,
